id,provider_id,provider_code,capability_code,operation_type,feature_codes,display_name,description,model_name,model_display_name,model_version,endpoint_path,unit_type,unit_cost_points,minimum_points,pricing_unit,pricing_json,runtime_config_json,config_json,is_default,allow_user_select,enabled,priority,created_by,updated_by,created_at,updated_at
8,2,image_ai_creative_render,avatar_generation,image,{avatar_generation},ImageAICreativeRender Avatar Generation,Generate avatar images using internal ImageAICreativeRender provider.,internal_default,Internal Default,,,image,3.000000,3.000000,image,{},{},{},t,t,t,20,,ai_core_reset,2026-07-08 12:59:45.662651,2026-07-22 14:58:54.169322
10,2,image_ai_creative_render,character_generation,image,{character_generation},ImageAICreativeRender Character Generation,Generate reusable AI character master images using internal ImageAICreativeRender provider.,internal_default,Internal Default,,,image,3.000000,3.000000,image,{},{},{},t,t,t,20,,ai_core_reset,2026-07-08 12:59:45.662651,2026-07-22 14:58:54.169322
9,2,image_ai_creative_render,chibi_avatar_generation,image,{chibi_avatar_generation},ImageAICreativeRender Chibi Avatar Generation,Generate chibi avatars using internal ImageAICreativeRender provider.,internal_default,Internal Default,,,image,3.000000,3.000000,image,{},{},{},t,t,t,20,,ai_core_reset,2026-07-08 12:59:45.662651,2026-07-22 14:58:54.169322
38,2,image_ai_creative_render,scene_image_generation,image,{scene_image_render},ImageAICreativeRender Scene Generation,Render static scene images using internal ImageAICreativeRender provider.,internal_default,Internal Default,,,image,3.000000,3.000000,image,{},"{""seed_source"": ""manual_sql"", ""feature_code"": ""scene_image_render"", ""source_capability"": ""character_generation""}","{""seed_source"": ""manual_sql"", ""feature_code"": ""scene_image_render"", ""source_capability"": ""character_generation""}",t,t,t,20,manual_scene_seed,ai_core_reset,2026-07-17 20:31:58.941103,2026-07-22 14:58:54.169322
114,7,kie,dance_sell_motion_video,motion_video,{dance_sell},Dance Sell Motion Video,,kling-2.6/motion-control,Kling 2.6 Motion Control,,/api/v1/jobs/createTask,credits,0.000000,0.000000,credits,"{""usage_unit"": ""credits"", ""pricing_status"": ""requires_verification""}","{""allowed_modes"": [""720p""], ""poll_endpoint"": ""/api/v1/jobs/recordInfo"", ""operation_type"": ""motion_video"", ""allowed_character_orientations"": [""image""]}","{""allowed_modes"": [""720p""], ""poll_endpoint"": ""/api/v1/jobs/recordInfo"", ""operation_type"": ""motion_video"", ""allowed_character_orientations"": [""image""]}",t,t,t,100,ai_core_reset,ai_core_reset,2026-07-22 14:58:55.520462,2026-07-22 15:02:00.053623
112,7,kie,dance_sell_reference_image,reference_image,{dance_sell},Dance Sell Reference Image,,gpt-image-2-image-to-image,GPT Image 2 Image To Image,,/api/v1/jobs/createTask,credits,0.000000,0.000000,credits,"{""usage_unit"": ""credits"", ""pricing_status"": ""requires_verification""}","{""input_urls"": 2, ""poll_endpoint"": ""/api/v1/jobs/recordInfo"", ""operation_type"": ""reference_image"", ""default_aspect_ratio"": ""1:1""}","{""input_urls"": 2, ""poll_endpoint"": ""/api/v1/jobs/recordInfo"", ""operation_type"": ""reference_image"", ""default_aspect_ratio"": ""1:1""}",t,t,t,100,ai_core_reset,ai_core_reset,2026-07-22 14:58:54.169322,2026-07-22 15:02:00.053623
1,1,openrouter,avatar_generation,image,{avatar_generation},OpenRouter Avatar Generation,Generate avatar images using OpenRouter image models.,bytedance-seed/seedream-4.5,Seedream 4.5,,/images,image,3.000000,3.000000,image,{},"{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}","{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}",f,t,t,10,,ai_core_reset,2026-07-08 12:59:40.850591,2026-07-22 14:58:54.169322
3,1,openrouter,character_generation,image,{character_generation},OpenRouter Character Generation,Generate reusable AI character master images using OpenRouter image models.,bytedance-seed/seedream-4.5,Seedream 4.5,,/images,image,3.000000,3.000000,image,{},"{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}","{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}",f,t,f,10,,ai_core_reset,2026-07-08 12:59:40.850591,2026-07-22 14:58:54.169322
2,1,openrouter,chibi_avatar_generation,image,{chibi_avatar_generation},OpenRouter Chibi Avatar Generation,Generate chibi avatar images using OpenRouter image models.,bytedance-seed/seedream-4.5,Seedream 4.5,,/images,image,3.000000,3.000000,image,{},"{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}","{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}",f,t,f,10,,ai_core_reset,2026-07-08 12:59:40.850591,2026-07-22 14:58:54.169322
11,1,openrouter,image_generation,image,{image_generation},OpenRouter Image Generation,Create images from text prompts and optional reference images using OpenRouter Image API.,bytedance-seed/seedream-4.5,Seedream 4.5,,/images,image,3.000000,3.000000,image,{},"{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}","{""quality"": ""high"", ""resolution"": ""2K"", ""output_format"": ""png""}",f,t,f,5,,ai_core_reset,2026-07-08 13:13:07.219058,2026-07-22 14:58:54.169322
