schema_name,table_name,constraint_name,constraint_type,definition
billing,ai_billing_records,ai_billing_records_billing_status_ck,c,"CHECK ((billing_status = ANY (ARRAY['estimated'::text, 'reserved'::text, 'charged'::text, 'released'::text, 'failed'::text, 'not_required'::text])))"
billing,ai_billing_records,ai_billing_records_pkey,p,PRIMARY KEY (id)
billing,ai_billing_records,ai_billing_records_points_ck,c,CHECK (((estimated_points >= (0)::numeric) AND (reserved_points >= (0)::numeric) AND (charged_points >= (0)::numeric) AND (refunded_points >= (0)::numeric)))
billing,ai_billing_records,ai_billing_records_provider_account_id_fkey,f,FOREIGN KEY (provider_account_id) REFERENCES todox_ai_provider_account(id) ON DELETE SET NULL
billing,ai_billing_records,ai_billing_records_provider_capability_id_fkey,f,FOREIGN KEY (provider_capability_id) REFERENCES todox_ai_provider_capability(id) ON DELETE SET NULL
billing,ai_billing_records,ai_billing_records_provider_id_fkey,f,FOREIGN KEY (provider_id) REFERENCES todox_ai_provider(id) ON DELETE SET NULL
billing,ai_billing_records,ai_billing_records_refund_status_ck,c,"CHECK ((refund_status = ANY (ARRAY['not_required'::text, 'not_charged'::text, 'partial'::text, 'refunded'::text, 'failed'::text])))"
billing,ai_billing_records,ai_billing_records_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE SET NULL
billing,ai_billing_records,ai_billing_records_status_ck,c,"CHECK ((status = ANY (ARRAY['estimated'::text, 'reserved'::text, 'completed'::text, 'released'::text, 'refunded'::text, 'failed'::text, 'manual_review'::text])))"
billing,ai_billing_records,ai_billing_records_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
billing,ai_billing_records,ai_billing_records_wallet_id_fkey,f,FOREIGN KEY (wallet_id) REFERENCES billing.token_wallets(id) ON DELETE SET NULL
billing,ai_provider_attempts,ai_provider_attempts_attempt_ck,c,CHECK ((attempt_no > 0))
billing,ai_provider_attempts,ai_provider_attempts_billing_record_id_fkey,f,FOREIGN KEY (billing_record_id) REFERENCES billing.ai_billing_records(id) ON DELETE SET NULL
billing,ai_provider_attempts,ai_provider_attempts_pkey,p,PRIMARY KEY (id)
billing,ai_provider_attempts,ai_provider_attempts_provider_account_id_fkey,f,FOREIGN KEY (provider_account_id) REFERENCES todox_ai_provider_account(id) ON DELETE SET NULL
billing,ai_provider_attempts,ai_provider_attempts_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
billing,ai_provider_attempts,ai_provider_attempts_status_ck,c,"CHECK ((status = ANY (ARRAY['queued'::text, 'submitted'::text, 'running'::text, 'completed'::text, 'failed'::text, 'cancelled'::text, 'timeout'::text])))"
billing,token_transactions,token_transactions_pkey,p,PRIMARY KEY (id)
billing,token_transactions,token_transactions_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
billing,token_transactions,token_transactions_wallet_id_fkey,f,FOREIGN KEY (wallet_id) REFERENCES billing.token_wallets(id) ON DELETE CASCADE
billing,token_usage_logs,token_usage_logs_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES crm.customers(id)
billing,token_usage_logs,token_usage_logs_pkey,p,PRIMARY KEY (id)
billing,token_usage_logs,token_usage_logs_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
billing,token_usage_logs,token_usage_logs_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.app_users(id)
billing,token_wallets,token_wallets_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES crm.customers(id) ON DELETE CASCADE
billing,token_wallets,token_wallets_pkey,p,PRIMARY KEY (id)
billing,token_wallets,token_wallets_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
dance_sell,dance_sell_jobs,dance_sell_jobs_mode_ck,c,"CHECK ((mode = ANY (ARRAY['720p'::text, '1080p'::text])))"
dance_sell,dance_sell_jobs,dance_sell_jobs_motion_render_job_id_fkey,f,FOREIGN KEY (motion_render_job_id) REFERENCES render.render_jobs(id) ON DELETE SET NULL
dance_sell,dance_sell_jobs,dance_sell_jobs_orientation_ck,c,"CHECK ((orientation = ANY (ARRAY['image'::text, 'video'::text])))"
dance_sell,dance_sell_jobs,dance_sell_jobs_pkey,p,PRIMARY KEY (id)
dance_sell,dance_sell_jobs,dance_sell_jobs_reference_mode_ck,c,"CHECK ((reference_mode = ANY (ARRAY['GENERATE_REFERENCE'::text, 'DIRECT_REFERENCE'::text, 'generate_reference'::text, 'direct_reference'::text])))"
dance_sell,dance_sell_jobs,dance_sell_jobs_reference_render_job_id_fkey,f,FOREIGN KEY (reference_render_job_id) REFERENCES render.render_jobs(id) ON DELETE SET NULL
dance_sell,dance_sell_jobs,dance_sell_jobs_selected_reference_fkey,f,FOREIGN KEY (selected_reference_version_id) REFERENCES dance_sell.dance_sell_reference_versions(id) ON DELETE SET NULL
dance_sell,dance_sell_jobs,dance_sell_jobs_status_ck,c,"CHECK ((status = ANY (ARRAY['draft'::text, 'queued'::text, 'reference_generating'::text, 'reference_ready'::text, 'rendering'::text, 'completed'::text, 'failed'::text, 'cancelled'::text])))"
dance_sell,dance_sell_jobs,dance_sell_jobs_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
dance_sell,dance_sell_reference_versions,dance_sell_reference_versions_dance_sell_job_id_fkey,f,FOREIGN KEY (dance_sell_job_id) REFERENCES dance_sell.dance_sell_jobs(id) ON DELETE CASCADE
dance_sell,dance_sell_reference_versions,dance_sell_reference_versions_pkey,p,PRIMARY KEY (id)
dance_sell,dance_sell_reference_versions,dance_sell_reference_versions_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE SET NULL
dance_sell,dance_sell_reference_versions,dance_sell_reference_versions_status_ck,c,"CHECK ((status = ANY (ARRAY['generating'::text, 'ready'::text, 'approved'::text, 'failed'::text])))"
public,app_users,app_users_pkey,p,PRIMARY KEY (id)
public,app_users,app_users_username_key,u,UNIQUE (username)
public,customer_accounts,customer_accounts_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
public,customer_accounts,customer_accounts_pkey,p,PRIMARY KEY (id)
public,customer_accounts,customer_accounts_username_key,u,UNIQUE (username)
public,customers,customers_code_key,u,UNIQUE (code)
public,customers,customers_pkey,p,PRIMARY KEY (id)
public,render_orders,render_orders_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
public,render_orders,render_orders_order_code_key,u,UNIQUE (order_code)
public,render_orders,render_orders_pkey,p,PRIMARY KEY (id)
public,render_orders,render_orders_service_package_id_fkey,f,FOREIGN KEY (service_package_id) REFERENCES service_packages(id)
public,service_packages,service_packages_code_key,u,UNIQUE (code)
public,service_packages,service_packages_pkey,p,PRIMARY KEY (id)
public,todox_ai_character,chk_todox_ai_character_aspect_ratio,c,"CHECK (((aspect_ratio IS NULL) OR ((aspect_ratio)::text = ANY ((ARRAY['1:1'::character varying, '9:16'::character varying, '16:9'::character varying, '4:5'::character varying, '3:4'::character varying])::text[]))))"
public,todox_ai_character,chk_todox_ai_character_gender,c,"CHECK (((gender IS NULL) OR ((gender)::text = ANY (ARRAY[('male'::character varying)::text, ('female'::character varying)::text, ('neutral'::character varying)::text, ('not_specified'::character varying)::text]))))"
